Title,Price,Subscribers,Reviews,Length,Reviews Percent
Building Web Apps Using Flask and Neo4j,50,166,21,2.5,12.650602409638553
Learn Web Animation the Easy Way: An Intro to SVG and GSAP,50,203,33,3.0,16.25615763546798
Build Your Own Membership Website With Joomla,95,1134,9,1.5,0.7936507936507936
Learn Spring Security 4 Basics - Hands On,95,216,28,2.0,12.962962962962962
Display and analyze GIS data on the web with Leaflet.js,100,25,4,12.5,16.0
How to Build a CMS with PHP,50,1096,33,1.0,3.010948905109489
Responsive Web Design with HTML5 and CSS3 - Introduction,35,770,65,8.0,8.441558441558442
Master Typescript : Learn Typescript from scratch,95,424,45,3.5,10.61320754716981
XSD :basics for beginners,35,755,0,42.0,0.0
Angularjs-WebApi2-EFCodeFirst Web App On 3-Tier Architecture,60,652,48,6.5,7.361963190184049
Css Positioning For Absolute Beginners: A Basic Introduction,65,4797,97,1.0,2.0220971440483635
Creating User Authentication System in CodeIgniter,200,2783,9,1.5,0.32339202299676606
How to easily Manage your WordPress Website,20,8462,50,2.0,0.590876861262113
Wordpress For Beginners: Create a Professional Website,200,5129,183,1.5,3.567946968219926
"Building a Portfolio in 90 minutes ( HTML, CSS, Js ) ",20,5272,111,2.0,2.10546282245827
Automate Web Development With Gulp JS,20,2784,425,3.5,15.265804597701148
Bootstrap 4 Responsive Web Design and Development,20,3086,17,7.5,0.5508749189889824
Intro To HTML & CSS: Web Development For Beginners,20,6008,203,4.0,3.3788282290279628
Become Exceptional in HTML and HTML5,20,16486,86,6.5,0.5216547373529055
Become a Rockstar Web Developer - Learn By Coding,200,2076,125,11.0,6.021194605009634
Spring 4 Mastercourse: Covers Annotation & XML Configuration,200,1353,53,23.5,3.917220990391722
WordPress Plugin Development for 2017 - Build 14 Plugins,50,3770,108,7.0,2.864721485411141
Single Page Application of MVC 5 Using AngularJS,20,722,53,1.5,7.340720221606649
"Learn to Code in HTML5, CSS3, and JavaScript",20,1404,7,2.5,0.49857549857549854
Web Application Development - Learn by Building 3 Web Apps,30,1688,16,1.5,0.9478672985781991
Rails Ecommerce App with HTML Template from Themeforest,25,214,34,2.0,15.887850467289718
Writing CSS with {LESS} - Tutorial From Infinite Skills,50,788,21,2.0,2.66497461928934
Login and Registration from Scratch with PHP and MySQL,20,1128,77,2.0,6.826241134751773
Getting Started with Magento,85,608,88,3.5,14.473684210526317
Ruby on Rails Foundations,20,359,45,6.5,12.534818941504177
Core Concepts in HTML 5,75,1532,19,2.0,1.2402088772845952
Learn Azure Cloud Step by Step,20,791,29,2.5,3.6662452591656134
Learn Facebook Flux Architecture for Web Applications,40,395,26,6.5,6.582278481012659
"Create free, fast and secure static website",50,322,9,31.0,2.7950310559006213
Object Orientation in PHP,20,151,40,5.0,26.490066225165563
Creating Custom Web Maps,50,208,48,2.0,23.076923076923077
Build A YouTube Downloader With C# And GitHub,20,385,39,2.5,10.129870129870131
Querying Microsoft SQL Server 2012 - (Exam No. 70-461),85,666,89,6.5,13.363363363363364
HTTP Clients with Laravel: Use and Consume Services and APIs,65,237,22,3.5,9.282700421940929
Modern E-Commerce Store In php & mysqli With Bootstrap,50,240,45,66.5,18.75
Simple And Easy: Wordpress For Beginners,Free,5014,196,3.0,3.9090546469884324
Create Website from scratch in Urdu & Hindi,Free,3033,91,1.0,3.0003297065611605
Advance Unix : File Processing: AWK | GREP | VIM,20,458,2,1.0,0.43668122270742354
Introduction to Node.js Development,55,1779,48,1.0,2.6981450252951094
Advance JavaScript for Coders: Learn OOP in JavaScript,40,334,41,11.5,12.275449101796406
Web Development With Google Maps,50,222,9,8.5,4.054054054054054
jQuery UI Ultimate:Design Amazing Interfaces Using jQuery UI,145,422,86,12.5,20.379146919431278
Learn Spring Security 4 Intermediate - Hands On,95,227,16,2.0,7.048458149779736
Learning Path: The Road to Elasticsearch,200,50,5,5.0,10.0
HTML/CSS Bootcamp,40,194,26,10.0,13.402061855670103
JavaScript High Performance,95,458,28,4.5,6.11353711790393
Node:js : Building Rest Apis with Sails.js,100,61,9,2.0,14.754098360655737
Fundamentals of Angular 2 Full Stack Design,95,314,43,6.5,13.694267515923567
Create Newsletter Subscription Form with PHP/AJAX in 40 Min,50,586,10,38.0,1.7064846416382253
AppML :basics for beginners,30,770,0,38.0,0.0
How to manage your own VPS and create websites,120,735,16,1.5,2.1768707482993195
Learn BuddyPress: Build A Social Network with WordPress,20,1299,15,1.0,1.1547344110854503
HTML FOR BEGINNERS,20,791,8,1.0,1.0113780025284451
XML XQuery - Crash Course for Beginners,45,426,4,1.0,0.9389671361502347
Simplified Cross Browser Web Testing Using VirtualBox,20,796,3,1.0,0.37688442211055273
JavaScript and jQuery Basics: Start The Journey,25,1316,22,5.0,1.6717325227963524
How to Install WordPress From Scratch,Free,8415,56,1.0,0.6654783125371361
CSS :basics for beginners,30,1085,8,32.0,0.7373271889400922
"WordPress Development - Themes, Plugins & Single Page Apps",150,817,164,19.5,20.0734394124847
Learn Effective HTML in No Time!,40,1275,11,1.0,0.8627450980392156
HTML5 Geolocation in Depth:Build 7 HTML5 Geolocation Apps,90,1526,72,6.5,4.718217562254259
Building a Search Engine in PHP & MySQL,Free,10110,379,2.5,3.7487636003956477
create a search engine for your website!,20,1832,6,1.5,0.32751091703056767
Learn basics of HTML in 30 Minutes,20,945,17,33.0,1.7989417989417988
JavaScript from Scratch for Very Beginners,30,1272,31,5.0,2.4371069182389937
Learn Web Development by Creating a Social Network,200,442,48,6.5,10.85972850678733
CSS Image filters - The modern web images color manipulation,Free,6315,53,1.5,0.8392715756136183
Building Responsive Websites with Bootstrap 3 Framework,75,1322,14,3.0,1.059001512859304
Create a Membership Site with Wishlist Member & Wordpress,95,557,39,2.5,7.001795332136446
Convert HTML Websites into PHP: Learn by Doing in 40 Minutes,50,540,13,36.0,2.4074074074074074
17 Complete JavaScript   projects explained step by step,185,327,26,9.5,7.951070336391437
Mastering Unix : AWK Commands,20,358,0,2.0,0.0
Cakephp:Creating a CRUD application,40,803,2,31.0,0.24906600249066002
HTML and CSS: A Guide to Web Design,25,1557,13,14.0,0.8349389852280027
Drupal 8 Site Building,Free,1942,23,4.5,1.184346035015448
Learn Bootstrap 4 The Most Popular HTML5 CSS3 & JS Framework,200,279,37,10.0,13.261648745519713
Essentials of Spring 5.0 for Developers,125,34,2,1.5,5.88235294117647
The Extreme Web Development Course - For Beginners,200,1420,62,5.5,4.366197183098591
JQuery DOM and Ajax Concept Explained for Beginners,35,1812,112,37.0,6.181015452538632
HTML Forms For Beginners: A Basic Introduction  ,45,2472,41,1.0,1.6585760517799353
Ultimate JavaScript Objects,20,1525,43,2.5,2.819672131147541
The Complete Web Developer Course - Build 20 Websites,20,2650,61,15.5,2.30188679245283
"Simple Javascript: Learn by Doing, Beginners Welcome!",25,2753,10,2.0,0.3632401017072285
"Learn HTML, CSS, and Ruby on Rails: Build Your First Blog",20,2985,40,1.5,1.340033500837521
Learn HTML5 Canvas for beginners,100,2360,12,3.5,0.5084745762711864
Bootstrap 4 Beginners: Code a Responsive Landing Page,30,948,193,3.5,20.35864978902954
Build Wordpress CMS Clone with Laravel 5,150,392,81,8.5,20.66326530612245
XML DTD - Crash Course for Beginners,45,944,1,1.0,0.1059322033898305
Beginner Photoshop to HTML5 and CSS3,Free,73110,1716,2.0,2.3471481329503487
XPATH :basics for beginners,40,878,6,37.0,0.683371298405467
The Fastest Way to Create a Website Using Godaddy,30,1454,14,30.0,0.9628610729023385
A how to guide in HTML,Free,7318,205,35.0,2.801311833834381
Building Better APIs with GraphQL,50,555,89,2.5,16.036036036036037
Learn Grunt with Examples: Automate Your Front End Workflow,20,496,113,1.0,22.782258064516128
Build A Stock Downloader With Visual Studio 2015 And C#,20,436,36,1.5,8.256880733944955
jQuery UI in Action: Build 5 jQuery UI Projects,150,382,28,15.5,7.329842931937172
Learn jQuery from Scratch - Master of JavaScript library,100,1040,14,2.0,1.3461538461538463
How To Design A WordPress Website With No Coding At All,25,306,3,3.5,0.9803921568627451
Learn and Build using Polymer,40,513,169,3.5,32.94346978557505
CSS Animations: Create Amazing Effects on Your Website,50,300,31,3.0,10.333333333333334
Using MODX CMS to Build Websites: A Beginner's Guide,45,901,36,2.0,3.9955604883462823
